Format,Disc,Artist,Song Title
PS2,Sing Along With Disney,101 Dalmatians,Cruella De Vil
PCSX2,Pop (US),3 Doors Down,Kryptonite
PCSX2,Pop Vol 2 (US),3 Doors Down,When I'm Gone
PS3,Ultimate Party,5 Seconds of Summer,She Looks So Perfect
PCSX2,80s (US),A Flock of Seagulls,I Ran (So Far Away)
PS2,ABBA,ABBA,Chiquitita
PS3,ABBA,ABBA,Chiquitita
PS2,ABBA,ABBA,Dancing Queen
PS3,ABBA,ABBA,Dancing Queen
PS2,ABBA,ABBA,Does Your Mother Know
PS3,ABBA,ABBA,Does Your Mother Know
PS2,ABBA,ABBA,Fernando
PS3,ABBA,ABBA,Fernando
PS3,ABBA,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
PS2,ABBA,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight)
PS3,ABBA,ABBA,Happy New Year
PS3,ABBA,ABBA,Head Over Heels
PS2,ABBA,ABBA,"I Do, I Do, I Do, I Do, I Do"
PS3,ABBA,ABBA,"I Do, I Do, I Do, I Do, I Do"
PS2,ABBA,ABBA,"Knowing Me, Knowing You"
PS3,ABBA,ABBA,"Knowing Me, Knowing You"
PS2,ABBA,ABBA,Mamma Mia
PS3,ABBA,ABBA,Mamma Mia
PS3,ABBA,ABBA,"Money, Money, Money"
PS2,ABBA,ABBA,"Money, Money, Money"
PS2,Singstar,A-ha,Take On Me
PCSX2,Pop (US),A-ha,Take On Me
PS2,Rock Ballads,Air Supply,All Out Of Love
PS2,Sing Along With Disney,Aladdin,A Whole New World
PS2,Rock Ballads,Alannah Myles,Black Velvet
PS2,80s,Alice Cooper,Poison
PCSX2,Amped (US),Alice in Chains,Would?
PCSX2,Pop (US),Alicia Keys,Fallin'
PS2,Party,Alicia Keys,Fallin'
PS2,90s,All Saints,Never Ever
PS3,Pop Edition,Alphabeat,"10,000 Nights"
PS2,R & B,Amerie,1 Thing
PS3,Vol 3: Party Ed,Amy McDonald,This Is The Life
PS2,R & B,Amy Winehouse,Back To Black
PS3,Pop Edition,Amy Winehouse,Rehab
PS2,Summer Party,Amy Winehouse,Tears Dry On Their Own
PS2,R & B,Anastacia,I'm Outta Love
PS2,Rock Ballads,Anastacia,Left Outside Alone
PS3,Chartbreaker,Ann Lee,2 Times
PS2,Popworld,Annie,Heartbeat
PS2,Hottest Hits,Annie,I Know Your Girlfriend Hates Me
PS2,90s,Aqua,Barbie Girl
PCSX2,Rocks! (US),Aretha Franklin,Respect
PCSX2,90s (US),Arrested Development,Tennessee
PS2,Party,Ashford & Simpson,Solid
PS3,Chartbreaker,Ashford & Simpson,Solid
PCSX2,Pop Vol 2 (US),Ashlee Simpson,Boyfriend
PCSX2,Pop (US),Ashlee Simpson,Invisible
PCSX2,The Dome (DE),Ashlee Simpson,Pieces of Me
PS2,Popworld,Ashlee Simpson,Pieces Of Me
PS2,Singstar,Atomic Kitten,Eternal Flame
PCSX2,Amped (US),Audioslave,Cochise
PS3,Vol 1,"Automatic, The",Monster
PS3,Ultimate Party,Avicii feat. Dan Tyminski,Hey Brother
PS2,Singstar,Avril Lavigne,Complicated
PS2,Rock Ballads,Avril Lavigne,I'm With You
PCSX2,Pop Vol 2 (US),Avril Lavigne,My Happy Ending
PCSX2,The Dome (DE),Avril Lavigne,Sk8er Boi
PS2,Popworld,Avril Lavigne,Sk8er Boi
PS2,Hottest Hits,Avril Lavigne,When You're Gone
PCSX2,Rocks! (US),B-52s,Love Shack
PS2,90s,B-52s,Love Shack
PS3,Dance,Backstreet Boys,Everybody (Backstreet's Back)
PS3,Chartbreaker,Baltimora,Tarzan Boy
PCSX2,Made In Germany,Bananafishbones & Franka Potente,Easy Day
PS2,Boy Bands vs Girl Bands,Bananarama,Cruel Summer
PS2,Anthems,Bananarama,I Heard a Rumour
PS2,Boy Bands vs Girl Bands,Bananarama,Love in the First Degree
PS2,90s,Barenaked Ladies,One Week
PS3,Vol 3: Party Ed,Barry Manilow,Copacabana
PS3,Back To The 80s,Beastie Boys,(You Gotta) Fight For Your Right (To Party)
PCSX2,Amped (DE),Beatsteaks,Cut Off The Top
PS2,Sing Along With Disney,Beauty And The Beast,Beauty And The Beast
PS2,80s,Belinda Carlisle,Heaven Is A Place On Earth
PCSX2,Made In Germany,BEN*JAMMIN,Spring
PS2,R & B,Beverley Knight,Come As You Are
PCSX2,The Dome (DE),Beyonce,Crazy in Love
PS2,Popworld,Beyonce,Crazy In Love
PS2,Party,Bill Withers,Ain't No Sunshine
PS2,80s,Billy Joel,Uptown Girl
PCSX2,80s (US),Billy Ocean,Caribbean Queen
PS2,90s,Billy Ray Cyrus,Achy Breaky Heart
PS3,Chartbreaker,Black,Wonderful Life
PS2,R & B,Black Eyed Peas,Pump It
PS2,Popworld,Black Eyed Peas,Shut Up
PS3,Dance,Black Eyed Peas,Shut Up
PS3,Pop Edition,Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You
PCSX2,Amped (DE),Blind,Break Away
PCSX2,The Dome (DE),Blink 182,What's My Age Again?
PS2,Popworld,Blink 182,What's My Age Again?
PS3,Vol 1,Blink-182,All The Small Things
PCSX2,Amped (DE),Blink-182,I Miss You
PS2,Rocks!,Bloc Party,Banquet
PS2,80s,Blondie,Atomic
PS2,Singstar,Blondie,Heart of Glass
PS3,Dance,Blondie,Heart of Glass
PCSX2,80s (US),Blondie,Heart of Glass
PS2,Summer Party,Blondie,The Tide Is High
PS3,Pop Edition,Bloody Tinkerbell feat DoDoSkellington,Bittersweet Symphony
PS2,Party,Blu Cantrell,Hit 'Em Up Style (Oops!)
PS2,Singstar,Blue,One Love
PCSX2,Pop (US),Blue October,Hate Me
PCSX2,Amped (DE),Blue Oyster Cult,(Don't Fear) The Reaper
PS3,Vol 1,Blur,Coffee & TV
PS3,Vol 2,Blur,Country House
PS2,Summer Party,Blur,Girls & Boys
PS2,Rocks!,Blur,Song 2
PS2,Party,Bob Marley,"No Woman, No Cry"
PS3,Vol 2,Bobby Brown,My Prerogative
PS3,Pop Edition,Bon Jovi,Livin' On A Prayer
PCSX2,Made In Germany,Boney M.,Ma Baker
PCSX2,Amped (DE),Bonfire,You Make Me Feel
PS2,Anthems,Bonnie Tyler,Total Eclipse of the Heart
PS2,Summer Party,Booty Luv,Shine
PS2,Rock Ballads,Boston,More Than A Feeling
PCSX2,Amped (US),Boston,More Than A Feeling
PS2,Rocks!,Bowling For Soup,1985
PS2,Rock Ballads,Boy Meets Girl,Waiting For A Star To Fall
PCSX2,Pop Vol 2 (US),Boys Like Girls,The Great Escape
PS2,Boy Bands vs Girl Bands,Boyz II Men,I'll Make Love to You
PCSX2,90s (US),Boyz II Men,Motownphilly
PS2,Boy Bands vs Girl Bands,Boyzone,Love Me for a Reason
PS2,Rocks!,Bravery,An Honest Mistake
PS3,Ultimate Party,Bridgit Mendler,Ready Or Not
PS3,Vol 1,Britney Spears,Toxic
PS2,Boy Bands vs Girl Bands,Bros,I Owe You Nothing
PS3,Back To The 80s,Bros,When Will I Be Famous?
PCSX2,Singstar (DE),Bro'Sis,Do You
PS2,Anthems,Bucks Fizz,Making Your Mind Up
PS2,Party,Buggles,Video Killed the Radio Star
PS2,Boy Bands vs Girl Bands,Busted,Air Hostess
PS2,Singstar,Busted,Crashed the Wedding
PS2,Boy Bands vs Girl Bands,Busted,What I Go to School For
PS2,Party,Busted,Year 3000
PCSX2,Amped (DE),Caesars,Jerk It Out
PS2,Rock Ballads,Calling,Wherever You Will Go
PS2,Hottest Hits,Calvin Harris,Acceptable In The 80s
PS2,Anthems,Candi Staton,Young Hearts Run Free
PS2,90s,Cardigans,Lovefool
PS2,Rocks!,Cardigans,My Favourite Game
PS3,Vol 1,Cardigans,Lovefool
PS2,Singstar,Carl Douglas,Kung Fu Fighting
PS3,Ultimate Party,Carly Rae Jepsen,Call Me Maybe
PCSX2,Pop (US),Cartel,Honestly
PCSX2,Pop Vol 2 (US),Cartel,Lose It
PS2,Anthems,Charlene,I've Never Been to Me
PS3,Chartbreaker,Charles & Eddie,Would I Lie to You?
PS2,Anthems,Charlotte Church,Crazy Chick
PCSX2,Amped (DE),Cheap Trick,I Want You To Want Me
PS2,Anthems,Cher,If I Could Turn Back Time
PS2,Summer Party,Chesney Hawkes,The One And Only
PS3,Chartbreaker,China Crisis,Wishful Thinking
PS3,Pop Edition,Chris Brown,With You
PS3,Dance,Chris Brown,With You
PS2,R & B,Chris Brown,Yo (Excuse Me Miss)
PS3,Pop Edition,Chris De Burgh,Lady In Red
PS2,R & B,Christina Milian,AM To PM
PCSX2,90s (US),Chumbawamba,Tubthumping
PS2,Sing Along With Disney,Cinderella,Bibbidi-Bobbidi-Boo
PS2,Sing Along With Disney,Cinderella,The Work Song
PS3,Pop Edition,Cindi Lauper,True Colors
PS3,Chartbreaker,Cinema Bizarre,Lovesongs (They Kill Me)
PS3,Ultimate Party,Clean Bandit feat. Jess Glynne,Rather Be
PCSX2,Pop Vol 2 (US),Colbie Caillat,Bubbly
PS2,Hottest Hits,Colbie Caillat,Bubbly
PS3,Vol 1,Coldplay,Fix You
PS3,Ultimate Party,Coldplay,Magic
PS2,Rocks!,Coldplay,Speed of Sound
PS3,Vol 3: Party Ed,Coldplay,Viva La Vida
PCSX2,90s (US),Color Me Badd,I Wanna Sex You Up
PS3,Vol 3: Party Ed,Communards,Never Can Say Goodbye
PS2,R & B,Corinne Bailey Rae,I'd Like To
PS2,90s,Cranberries,Zombie
PS2,90s,Crash Test Dummies,Mmm Mmm Mmm Mmm
PCSX2,80s (US),Culture Club,Do You Really Want to Hurt Me?
PS2,80s,Culture Club,Karma Chameleon
PS2,90s,The Cure,Friday I'm in Love
PS2,80s,The Cure,Just Like Heaven
